url,date,name,n_encounters,n_shiny
https://thesilphroad.com/science/oddish-shiny-rates/,20191004,oddish,10988,94
https://thesilphroad.com/science/quick-discovery/montreal-safari-zone-weekend-yanma-shiny-rates/,20190921,yanma,4052,37
https://thesilphroad.com/science/quick-discovery/johto-journey-sentret-gligar-shiny-rates/,20190903,gligar_later,4234,33
https://thesilphroad.com/science/quick-discovery/yokohama-go-fest-poliwag-shiny-rates/,20190806,poliwag,5627,40
https://thesilphroad.com/science/quick-discovery/team-go-rocket-event-shiny-rates/,20190727,sneasel,1588,13
https://thesilphroad.com/science/quick-discovery/dortmund-go-fest-nidoran-shiny-rates/,20190704,nidoran_m,5722,53
https://thesilphroad.com/science/go-fest-weekend-shiny-horsea-rate/,20190613,horsea,7303,64
https://thesilphroad.com/science/reflecting-pokemon-go-shiny-rates-boosted-wild-rates/,20190401,diglett,43523,301
https://thesilphroad.com/science/reflecting-pokemon-go-shiny-rates-boosted-wild-rates/,20190401,shuckle,26978,204
https://thesilphroad.com/science/reflecting-pokemon-go-shiny-rates-boosted-wild-rates/,20190101,psyduck,10518,76
